GRTOTLT,GRBKAAT,GRHISPT
14,,
9,,
5,,
9,2,1
21,1,3
21,1,3
18,1,2
18,1,2
18,,
18,,
3,0,1
43,2,4
43,2,4
26,2,2
26,2,2
5,,
5,,
17,0,2
188,35,11
72,5,2
10,1,0
188,35,11
188,35,11
72,5,2
72,5,2
45,2,1
25,3,1
2,0,0
10,1,0
1,1,0
105,28,9
1,1,0
105,28,9
118,14,13
39,1,1
48,4,7
118,14,13
118,14,13
39,1,1
3,0,1
36,1,0
27,1,0
8,0,0
1,0,0
48,4,7
31,9,5
31,9,5
511,30,8
363,19,2
514,31,8
3,1,0
511,30,8
363,19,2
363,19,2
331,14,1
28,5,1
4,0,0
3,1,0
1,0,0
147,11,6
1,0,0
147,11,6
77,21,1
3,3,0
74,18,1
44,16,0
44,16,0
1,0,0
44,,
44,,
1,0,0
28,2,1
687,30,107
687,30,107
126,1,14
32,0,6
94,1,8
105,3,22
79,,
22,,
57,,
5,0,2
451,26,69
202,57,8
71,8,3
202,57,8
202,57,8
71,8,3
9,1,0
62,7,3
41,2,1
17,3,1
4,2,1
131,49,5
131,49,5
429,32,24
429,32,24
159,8,10
32,2,3
127,6,7
111,10,5
118,,
28,,
90,,
21,0,0
138,14,9
241,25,5
139,10,3
241,25,5
241,25,5
139,10,3
139,10,3
100,2,2
32,5,1
7,3,0
102,15,2
102,15,2
422,59,49
422,59,49
118,13,12
10,0,1
108,13,11
113,14,16
86,,
6,,
80,,
116,12,21
75,20,0
396,1,20
236,1,17
396,1,20
396,1,20
236,1,17
236,1,17
173,1,13
59,0,4
4,0,0
2,0,0
158,0,3
2,0,0
158,0,3
174,21,18
65,6,7
21,1,1
176,21,19
2,0,1
174,21,18
65,6,7
65,6,7
44,1,5
21,5,2
21,1,1
2,0,1
1,0,0
87,14,10
1,0,0
87,14,10
118,7,11
68,2,4
119,7,11
1,0,0
118,7,11
68,2,4
68,2,4
50,1,2
14,1,1
4,0,1
1,0,0
50,5,7
50,5,7
92,22,5
27,5,1
92,22,5
50,0,0
92,22,5
27,5,1
16,4,1
11,1,0
14,2,0
51,15,4
14,2,0
51,15,4
154,22,7
60,9,3
155,22,7
1,0,0
154,22,7
60,9,3
35,3,0
25,6,3
1,0,0
18,0,0
76,13,4
18,0,0
76,13,4
84,16,9
84,16,9
30,3,1
5,2,0
25,1,1
22,1,0
24,,
7,,
17,,
32,12,8
1315,167,126
1315,167,126
307,27,24
14,0,0
293,27,24
363,75,23
185,,
11,,
174,,
144,16,17
501,49,62
102,9,9
40,5,1
93,9,7
93,9,7
36,5,1
6,1,1
30,4,0
21,2,0
8,2,0
1,0,0
9,0,2
9,0,2
4,0,0
2,0,0
2,0,0
62,4,8
57,4,6
5,0,2
340,39,22
1,0,0
339,39,22
104,5,0
3,0,0
101,5,0
120,14,5
94,,
94,,
13,0,1
102,20,16
508,129,19
508,129,19
185,35,11
33,0,1
152,35,10
151,41,6
167,,
33,,
134,,
8,0,1
164,53,1
240,15,16
240,15,16
84,2,4
2,0,0
82,2,4
53,8,7
70,,
2,,
68,,
12,1,0
91,4,5
813,70,104
1,1,0
812,69,104
266,14,34
14,0,0
252,14,34
166,25,19
181,,
7,,
174,,
63,5,4
317,25,47
429,65,130
429,65,130
225,15,78
31,0,12
194,15,66
187,,
27,,
160,,
204,50,52
41,12,21
7,2,5
4,2,2
41,12,21
41,12,21
7,2,5
7,2,5
4,2,2
30,8,14
30,8,14
653,38,42
253,7,9
253,23,14
655,38,42
2,0,0
653,38,42
253,7,9
253,7,9
142,0,1
88,7,4
23,0,4
253,23,14
2,0,0
24,0,4
123,8,15
24,0,4
123,8,15
130,2,23
130,2,23
71,1,8
43,1,6
28,0,2
24,0,4
53,,
39,,
14,,
35,1,11
765,19,25
329,3,7
213,11,9
732,19,24
1,0,0
731,19,24
306,3,7
3,1,0
303,2,7
129,1,2
123,1,4
51,0,1
210,11,9
34,0,1
34,0,1
23,0,0
1,0,0
22,0,0
3,0,0
1,0,0
39,0,1
184,5,8
38,0,1
177,5,7
1,0,0
7,0,1
34,2,1
16,0,0
33,2,1
33,2,1
15,0,0
1,0,0
14,0,0
14,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,1,0
17,1,1
1,1,0
17,1,1
169,12,8
58,4,1
1,0,0
146,8,8
146,8,8
53,4,1
3,0,0
50,4,1
20,1,1
25,3,0
5,0,0
1,0,0
23,4,0
23,4,0
5,0,0
3,0,0
2,0,0
1,0,0
109,8,7
1,0,0
91,4,7
18,4,0
415,47,7
415,47,7
128,15,0
24,2,0
104,13,0
82,17,2
36,,
22,,
14,,
9,0,0
196,15,5
368,37,124
368,37,124
137,10,48
8,0,6
129,10,42
78,15,15
109,,
8,,
101,,
22,1,8
131,11,53
218,0,0
50,0,0
218,0,0
218,0,0
26,0,0
24,0,0
13,0,0
155,0,0
13,0,0
155,0,0
195,14,11
195,14,11
107,5,1
107,5,1
79,,
79,,
88,9,10
506,74,12
506,74,12
139,12,3
36,4,1
103,8,2
193,25,5
111,,
33,,
78,,
19,1,1
155,36,3
1007,121,70
2,0,0
1005,121,70
273,22,15
16,0,1
257,22,14
300,62,17
201,,
16,,
185,,
76,4,11
356,33,27
219,33,5
219,33,5
60,5,1
15,0,1
45,5,0
44,10,1
45,,
12,,
33,,
6,1,0
109,17,3
1468,123,147
1,0,0
6,0,1
1467,123,147
220,12,21
67,5,8
153,7,13
398,40,35
171,,
74,,
97,,
242,16,25
607,55,66
682,290,64
369,140,41
686,292,64
4,2,0
682,290,64
369,140,41
331,135,40
38,5,1
4,2,0
3,0,0
310,150,23
3,0,0
310,150,23
602,167,89
602,167,89
134,31,17
56,20,5
78,11,12
103,,
53,,
50,,
73,12,17
395,124,55
3,1,0
1,1,0
2,0,0
3,1,0
3,1,0
1,1,0
1,1,0
1,1,0
2,0,0
4435,179,175
2661,81,93
1482,76,68
4441,179,176
4435,179,175
2661,81,93
2661,81,93
1649,41,55
835,30,30
177,10,8
1482,76,68
6,0,1
120,7,6
172,15,8
120,7,6
172,15,8
115,2,11
55,1,4
115,2,11
115,2,11
55,1,4
3,0,1
52,1,3
36,1,1
16,0,2
60,1,7
60,1,7
3518,143,133
2061,34,62
903,68,44
3490,141,131
3490,141,131
2058,34,62
4,0,0
2054,34,62
960,11,19
890,14,26
204,9,17
895,68,42
28,2,2
28,2,2
3,0,0
1,0,0
2,0,0
8,0,2
12,1,1
542,40,26
11,1,1
526,38,26
1,0,0
16,2,0
138,16,10
45,2,2
67,13,6
138,16,10
138,16,10
45,2,2
45,2,2
33,1,1
11,1,0
1,0,1
67,13,6
1,0,0
25,1,2
1,0,0
25,1,2
231,21,11
8,1,0
223,20,11
20,0,0
6,0,0
14,0,0
104,13,4
20,,
6,,
14,,
21,1,1
78,6,6
65,3,1
65,3,1
37,2,0
23,2,0
14,0,0
31,,
21,,
10,,
28,1,1
88,5,0
40,0,0
88,5,0
88,5,0
40,0,0
1,0,0
3,0,0
36,0,0
26,0,0
7,0,0
3,0,0
48,5,0
48,5,0
135,10,11
65,4,6
135,10,11
135,10,11
65,4,6
65,4,6
60,2,5
5,2,1
70,6,5
70,6,5
208,12,7
104,4,5
208,12,7
208,12,7
104,4,5
104,4,5
69,2,3
28,1,1
7,1,1
2,0,0
102,8,2
2,0,0
102,8,2
264,30,24
264,30,24
63,4,11
3,0,1
60,4,10
97,11,5
51,,
2,,
49,,
17,2,0
87,13,8
198,2,3
198,2,3
140,0,3
83,0,3
57,0,0
140,,
83,,
57,,
58,2,0
242,6,59
242,6,59
147,2,32
57,1,16
90,1,16
13,1,5
137,,
55,,
82,,
82,3,22
201,55,11
63,10,1
201,55,11
201,55,11
63,10,1
63,10,1
40,3,1
23,7,0
2,1,0
136,44,10
2,1,0
136,44,10
1008,32,28
505,10,15
974,32,28
974,32,28
482,10,15
7,0,0
475,10,15
237,7,1
174,1,14
64,2,0
34,0,0
34,0,0
23,0,0
16,0,0
7,0,0
32,0,2
471,22,11
32,0,2
460,22,11
11,0,0
243,21,12
243,21,12
94,3,2
6,0,0
88,3,2
53,9,3
77,,
6,,
71,,
6,0,1
90,9,6
113,21,7
39,6,3
113,21,7
113,21,7
39,6,3
39,6,3
30,3,2
9,3,1
1,1,0
73,14,4
1,1,0
73,14,4
129,7,15
129,7,15
84,5,9
71,5,8
13,0,1
83,,
71,,
12,,
1,0,0
44,2,6
449,25,237
449,25,237
161,8,84
60,2,41
101,6,43
43,4,15
136,,
58,,
78,,
27,0,19
218,13,119
158,15,8
85,4,4
158,15,8
158,15,8
85,4,4
85,4,4
67,1,3
17,2,1
1,1,0
1,0,0
72,11,4
1,0,0
72,11,4
150,11,8
59,4,3
150,11,8
150,11,8
59,4,3
59,4,3
44,3,0
15,1,3
1,0,0
90,7,5
1,0,0
90,7,5
141,1,9
68,1,3
141,1,9
141,1,9
68,1,3
1,0,0
67,1,3
54,1,3
13,0,0
73,0,6
73,0,6
723,37,36
246,9,6
302,12,16
701,35,35
3,0,0
698,35,35
241,9,6
241,9,6
89,2,3
108,3,2
44,4,1
298,11,16
25,2,1
25,2,1
5,0,0
3,0,0
2,0,0
4,1,0
3,0,0
175,16,14
159,15,13
16,1,1
206,39,19
206,39,19
78,3,9
69,2,9
9,1,0
29,10,2
55,,
51,,
4,,
5,2,0
94,24,8
1244,70,96
553,20,29
395,26,32
1248,71,96
5,1,0
1243,70,96
552,20,29
1,0,0
551,20,29
242,4,13
218,11,9
91,5,7
395,26,32
1,0,0
1,0,0
1,0,0
1,0,0
5,1,0
111,7,15
185,17,20
111,7,15
185,17,20
685,91,77
1,0,0
684,91,77
387,41,40
387,41,40
363,,
363,,
297,50,37
189,1,1
97,0,0
19,0,0
189,1,1
189,1,1
97,0,0
97,0,0
85,0,0
12,0,0
19,0,0
73,1,1
73,1,1
313,7,11
212,1,6
309,7,11
309,7,11
209,1,6
3,0,0
206,1,6
173,1,6
23,0,0
10,0,0
4,0,0
4,0,0
3,0,0
3,0,0
101,6,5
100,6,5
1,0,0
599,9,10
1,0,0
598,9,10
118,1,0
53,1,0
65,0,0
56,1,1
36,,
18,,
18,,
9,0,0
415,7,9
45,3,1
45,3,1
31,3,0
31,3,0
25,,
25,,
14,0,1
567,26,18
383,17,13
567,26,18
567,26,18
383,17,13
383,17,13
301,11,9
72,6,3
10,0,1
2,0,0
182,9,5
2,0,0
182,9,5
413,63,9
257,39,8
413,63,9
413,63,9
257,39,8
257,39,8
184,26,6
70,13,1
3,0,1
3,0,0
153,24,1
3,0,0
153,24,1
250,81,5
250,81,5
66,20,0
65,20,0
1,0,0
1,,
1,,
184,61,5
240,26,4
240,26,4
59,1,2
18,0,1
41,1,1
11,1,0
10,,
5,,
5,,
1,1,0
169,23,2
113,6,0
7,0,0
29,1,0
112,6,0
112,6,0
29,1,0
29,1,0
12,0,0
17,1,0
1,0,0
1,0,0
84,5,0
83,5,0
1,0,0
442,60,5
174,14,1
415,59,4
415,59,4
169,14,1
5,0,0
164,14,1
112,5,0
46,7,1
6,2,0
27,1,1
27,1,1
5,0,0
5,0,0
5,1,0
263,45,4
5,1,0
241,44,3
22,1,1
1819,210,66
5,0,0
1814,210,66
306,10,15
98,4,7
208,6,8
273,24,8
159,,
70,,
89,,
25,3,1
1210,173,42
336,18,8
276,12,8
336,18,8
13,,
8,,
336,18,8
276,12,8
276,12,8
269,11,8
7,1,0
60,6,0
60,6,0
13,0,0
8,0,0
3,0,0
13,0,0
13,0,0
8,0,0
8,0,0
6,0,0
2,0,0
3,0,0
2,0,0
2,0,0
56,2,1
56,2,1
31,2,1
31,2,1
27,,
27,,
1,0,0
24,0,0
8,0,0
8,0,0
5,0,0
5,0,0
4,,
4,,
3,0,0
371,31,0
371,31,0
234,13,0
234,13,0
179,,
179,,
1,0,0
136,18,0
478,61,18
170,10,7
478,61,18
478,61,18
170,10,7
170,10,7
120,5,3
50,5,4
308,51,11
308,51,11
2456,151,28
1028,38,9
2414,150,28
2414,150,28
1016,38,9
8,0,0
1008,38,9
466,6,2
402,20,4
140,12,3
42,1,0
42,1,0
12,0,0
4,0,0
8,0,0
93,4,2
1335,109,17
91,3,2
1307,109,17
2,1,0
28,0,0
1012,71,50
1,0,0
1011,71,50
244,6,11
105,4,5
139,2,6
103,8,6
104,,
64,,
40,,
12,0,0
652,57,33
379,30,5
208,16,4
379,30,5
379,30,5
208,16,4
208,16,4
169,11,4
39,5,0
171,14,1
171,14,1
54,4,0
54,4,0
19,1,0
19,1,0
1,,
1,,
17,0,0
18,3,0
531,6,3
2,0,0
529,6,3
162,3,0
107,2,0
55,1,0
33,1,0
79,,
71,,
8,,
4,0,0
330,2,3
3,0,0
3,0,0
3,0,0
3,0,0
192,11,6
2,0,0
190,11,6
47,1,2
13,0,1
34,1,1
27,0,1
22,,
9,,
13,,
3,0,0
113,10,3
432,85,30
432,85,30
92,10,9
29,4,6
63,6,3
79,6,3
50,,
19,,
31,,
7,1,0
254,68,18
25,10,1
14,6,1
25,10,1
25,10,1
14,6,1
14,6,1
5,,
11,4,0
11,4,0
1009,208,40
2,0,1
1007,208,39
127,11,4
54,6,3
73,5,1
110,18,7
36,,
20,,
16,,
15,4,3
755,175,25
10,0,0
10,0,0
8,0,0
8,0,0
6,,
6,,
2,0,0
34,15,0
34,15,0
23,10,0
23,10,0
1,,
1,,
11,5,0
212,45,2
74,13,0
212,45,2
212,45,2
74,13,0
28,5,0
46,8,0
138,32,2
138,32,2
15,1,0
8,0,0
14,1,0
14,1,0
8,0,0
1,0,0
7,0,0
3,0,0
3,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
6,1,0
1,0,0
5,1,0
1,0,0
566,393,3
112,83,2
233,169,1
489,337,3
2,1,0
487,336,3
99,71,2
99,71,2
32,24,1
38,28,0
29,19,1
195,140,1
80,58,0
1,1,0
79,57,0
13,12,0
13,12,0
38,29,0
3,2,0
16,12,0
205,129,0
14,12,0
179,113,0
2,0,0
26,16,0
219,18,4
89,5,1
219,18,4
219,18,4
89,5,1
89,5,1
81,5,1
5,0,0
3,0,0
130,13,3
130,13,3
4074,337,65
2501,145,41
4043,338,63
3,2,0
4040,336,63
2467,144,39
34,1,2
2433,143,37
1323,71,15
896,55,17
214,17,5
34,1,2
34,1,2
34,1,2
34,1,2
3,2,0
113,13,1
1460,179,23
113,13,1
1460,179,23
160,9,1
55,2,1
160,9,1
160,9,1
55,2,1
55,2,1
40,0,1
14,2,0
1,0,0
105,7,0
105,7,0
421,29,7
147,4,0
421,29,7
421,29,7
147,4,0
3,0,0
144,4,0
78,0,0
59,3,0
7,1,0
3,0,0
271,25,7
3,0,0
271,25,7
102,12,0
54,4,0
102,12,0
102,12,0
54,4,0
44,2,0
10,2,0
48,8,0
48,8,0
2548,275,60
1364,138,28
2548,275,61
1,0,1
2547,275,60
1364,138,28
1364,138,28
915,84,22
291,34,4
158,20,2
1,0,0
1,0,0
1,0,1
114,13,6
1070,124,26
114,13,6
1069,124,26
1,0,0
329,9,6
329,9,6
94,3,0
37,2,0
57,1,0
45,2,1
44,,
26,,
18,,
3,0,0
187,4,5
459,10,8
459,10,8
134,1,4
67,0,2
67,1,2
60,0,1
82,,
61,,
21,,
3,0,1
262,9,2
120,15,2
52,2,1
33,5,1
120,15,2
120,15,2
52,2,1
18,1,0
34,1,1
29,1,1
3,0,0
2,0,0
33,5,1
1,0,0
34,8,0
1,0,0
34,8,0
1313,58,8
561,16,3
978,22,4
1,0,0
977,22,4
479,10,2
28,0,0
451,10,2
235,6,2
157,4,0
59,0,0
336,36,4
336,36,4
82,6,1
12,0,0
70,6,1
1,0,0
48,0,1
704,42,4
31,0,0
467,12,2
17,0,1
237,30,2
1452,115,12
755,49,8
1450,115,12
1450,115,12
753,49,8
1,0,0
752,49,8
415,17,1
261,27,6
76,5,1
2,0,0
2,0,0
2,0,0
2,0,0
55,9,0
642,57,4
55,9,0
642,57,4
243,21,9
243,21,9
72,5,3
36,4,2
36,1,1
28,3,0
29,,
22,,
7,,
1,0,0
142,13,6
2001,156,40
724,32,13
1963,155,40
1963,155,40
715,31,13
2,0,0
713,31,13
252,10,6
354,14,5
107,7,2
38,1,0
38,1,0
9,1,0
1,0,0
8,1,0
137,9,8
1140,115,19
133,9,8
1115,115,19
4,0,0
25,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,,
5,,
51,3,0
11,0,0
51,3,0
51,3,0
11,0,0
4,0,0
7,0,0
40,3,0
40,3,0
613,40,16
1,0,0
612,40,16
225,8,7
100,5,1
125,3,6
87,4,1
146,,
81,,
65,,
11,2,0
289,26,8
49,16,0
49,16,0
45,16,0
43,16,0
2,0,0
45,,
42,,
3,,
4,0,0
177,15,4
70,0,1
162,14,4
162,14,4
61,0,1
61,0,1
41,0,1
17,0,0
3,0,0
15,1,0
15,1,0
9,0,0
9,0,0
3,0,0
104,15,3
3,0,0
98,14,3
6,1,0
450,3,8
1,0,0
449,3,8
90,1,3
33,1,0
57,0,3
42,0,1
37,,
11,,
26,,
5,0,0
312,2,4
210,97,10
45,14,3
2,0,1
210,97,10
210,97,10
45,14,3
45,14,3
2,0,1
5,2,0
158,81,6
5,2,0
158,81,6
25,3,1
25,3,1
14,1,0
2,0,0
12,1,0
11,2,1
148,12,1
46,1,1
79,6,1
1,0,0
78,6,1
29,1,1
3,0,0
26,1,1
24,0,0
2,1,1
70,6,0
70,6,0
17,0,0
2,0,0
8,0,0
7,0,0
1,0,0
7,0,0
95,11,0
49,5,0
46,6,0
62,5,3
62,5,3
31,3,1
2,0,0
29,3,1
1,,
1,,
1,0,1
30,2,1
46,32,0
46,32,0
19,13,0
2,1,0
17,12,0
27,19,0
66,3,1
66,3,1
35,2,0
2,0,0
33,2,0
1,0,0
30,1,1
95,9,1
29,2,0
1,1,0
95,9,1
95,9,1
29,2,0
13,1,0
16,1,0
1,1,0
2,0,0
63,6,1
2,0,0
63,6,1
1049,11,17
1049,11,17
262,2,7
106,1,2
156,1,5
108,0,4
112,,
47,,
65,,
7,0,0
672,9,6
353,11,3
353,11,3
103,0,0
56,0,0
47,0,0
25,0,1
54,,
39,,
15,,
1,0,0
224,11,2
173,2,2
75,0,2
151,1,2
151,1,2
66,0,2
66,0,2
54,0,2
9,0,0
3,0,0
22,1,0
22,1,0
9,0,0
9,0,0
5,0,0
93,2,0
5,0,0
80,1,0
13,1,0
102,21,0
39,6,0
102,21,0
102,21,0
39,6,0
1,0,0
38,6,0
7,0,0
24,4,0
7,2,0
5,3,0
58,12,0
5,3,0
58,12,0
333,53,6
192,21,3
333,53,6
333,53,6
192,21,3
119,14,3
73,7,0
141,32,3
141,32,3
137,17,2
61,9,1
137,17,2
137,17,2
61,9,1
61,9,1
76,8,1
76,8,1
277,13,4
128,1,2
120,10,2
277,13,4
277,13,4
128,1,2
1,0,0
127,1,2
89,1,0
34,0,2
4,0,0
120,10,2
1,0,0
28,2,0
1,0,0
28,2,0
315,8,5
222,7,3
315,8,5
315,8,5
222,7,3
222,7,3
199,6,2
19,1,0
4,0,1
1,0,0
92,1,2
1,0,0
92,1,2
25,0,0
25,0,0
13,0,0
6,0,0
7,0,0
8,0,0
244,32,3
78,4,0
244,32,3
244,32,3
78,4,0
78,4,0
41,0,0
31,3,0
6,1,0
5,1,1
161,27,2
5,1,1
161,27,2
3203,473,62
1395,95,20
1004,233,25
2586,221,54
7,0,0
2579,221,54
1303,74,19
12,0,0
1291,74,19
684,26,9
459,33,7
148,15,3
739,99,19
625,253,8
1,1,0
624,252,8
92,21,1
9,0,1
83,21,0
265,134,6
8,1,0
141,20,5
663,125,12
119,13,5
418,35,11
22,7,0
245,90,1
319,137,3
319,137,3
229,95,1
216,91,1
13,4,0
138,,
125,,
13,,
90,42,2
43,24,0
43,24,0
40,21,0
34,18,0
6,3,0
40,,
40,,
3,3,0
393,298,3
1,0,0
392,298,3
94,66,0
85,60,0
9,6,0
63,,
55,,
8,,
31,27,0
267,205,3
1608,819,36
2,0,0
1606,819,36
170,47,4
75,25,2
95,22,2
661,443,9
58,,
30,,
28,,
225,92,3
550,237,20
39,30,4
39,30,4
22,14,4
7,4,1
15,10,3
16,,
4,,
12,,
3,3,0
14,13,0
246,23,11
128,12,4
246,23,11
246,23,11
128,12,4
128,12,4
104,7,3
23,5,1
1,0,0
118,11,7
118,11,7
2623,1267,132
2623,1267,132
297,97,23
244,88,20
53,9,3
407,176,20
122,,
119,,
3,,
384,174,27
1535,820,62
167,31,5
167,31,5
112,22,1
37,10,0
75,12,1
94,,
52,,
42,,
1,0,0
54,9,4
173,167,1
63,61,1
173,167,1
173,167,1
63,61,1
63,61,1
42,40,1
18,18,0
3,3,0
7,7,0
103,99,0
7,7,0
103,99,0
188,76,6
188,76,6
22,2,0
1,0,0
21,2,0
5,,
5,,
28,10,3
138,64,3
1203,1063,4
363,345,3
1184,1044,4
1184,1044,4
358,340,3
2,2,0
356,338,3
144,135,2
154,146,1
58,57,0
19,19,0
19,19,0
5,5,0
4,4,0
1,1,0
85,83,0
755,635,1
75,73,0
751,631,1
10,10,0
4,4,0
170,71,3
1,0,0
169,71,3
117,40,3
35,15,1
82,25,2
66,,
13,,
53,,
52,31,0
306,29,5
63,5,1
32,3,0
130,10,3
130,10,3
33,0,0
33,0,0
14,0,0
11,0,0
8,0,0
32,3,0
176,19,2
176,19,2
30,5,1
12,2,0
18,3,1
8,1,0
203,20,4
8,1,0
57,6,3
146,14,1
5131,461,174
3458,277,116
5135,461,174
4,0,0
5131,461,174
3458,277,116
108,4,6
12,1,0
3338,272,110
1900,139,63
1177,98,36
261,35,11
4,0,0
143,19,4
1530,165,54
143,19,4
1530,165,54
627,166,8
1,0,0
626,166,8
70,7,2
70,7,2
294,81,2
24,,
24,,
75,15,2
187,63,2
349,75,9
107,17,2
349,75,9
349,75,9
107,17,2
107,17,2
41,3,0
39,12,1
27,2,1
28,6,0
214,52,7
28,6,0
214,52,7
223,38,3
104,12,1
218,38,3
218,38,3
102,12,1
102,12,1
61,7,0
33,2,1
8,3,0
5,0,0
5,0,0
2,0,0
2,0,0
3,1,0
116,25,2
3,1,0
113,25,2
3,0,0
1503,249,29
787,105,14
136,36,2
1427,235,28
3,1,0
1424,234,28
768,102,14
768,102,14
428,62,10
252,33,4
88,7,0
124,33,2
79,15,1
79,15,1
19,3,0
5,0,0
14,3,0
12,3,0
3,1,0
60,9,2
520,99,11
58,8,2
474,91,10
2,1,0
46,8,1
691,97,73
428,50,45
692,97,73
1,0,0
691,97,73
428,50,45
428,50,45
352,40,33
66,8,10
10,2,2
1,0,0
263,47,28
263,47,28
1272,251,18
524,74,6
281,84,4
1244,243,16
3,1,0
1241,242,16
515,71,6
7,2,0
508,69,6
203,20,2
222,33,4
83,16,0
281,84,4
31,9,2
31,9,2
9,3,0
5,1,0
4,2,0
3,1,0
116,33,3
351,60,5
109,31,1
336,56,5
7,2,2
15,4,0
1210,226,87
408,56,28
1210,226,87
1210,226,87
408,56,28
408,56,28
1,0,0
159,24,10
164,19,10
85,13,8
87,15,6
715,155,53
87,15,6
715,155,53
42,3,1
9,0,1
42,3,1
42,3,1
9,0,1
1,0,0
8,0,1
3,0,0
5,0,1
10,1,0
23,2,0
10,1,0
23,2,0
1217,232,23
483,66,11
414,106,10
1099,217,22
2,0,0
1097,217,22
450,66,10
3,0,0
447,66,10
207,27,5
172,20,4
68,19,1
366,96,10
120,15,1
120,15,1
33,0,1
3,0,0
30,0,1
48,10,0
2,0,0
46,9,0
274,51,2
39,8,0
7,,
6,,
242,47,2
7,1,0
32,4,0
1200,357,19
486,121,10
1194,354,19
1194,354,19
486,121,10
11,1,0
475,120,10
227,41,7
181,57,3
67,22,0
6,3,0
6,3,0
287,58,7
427,178,2
287,58,7
421,175,2
6,3,0
369,193,2
369,193,2
160,80,1
160,80,1
140,,
140,,
17,13,0
192,100,1
1183,393,33
447,140,12
1089,368,29
1,0,0
1088,368,29
422,134,10
9,1,0
413,133,10
225,58,7
146,62,2
42,13,1
95,25,4
95,25,4
25,6,2
6,0,0
19,6,2
1,,
48,16,1
688,237,20
45,15,0
621,219,19
3,1,1
67,18,1
101,16,6
29,2,0
101,16,6
101,16,6
29,2,0
29,2,0
7,0,0
22,2,0
12,2,0
60,12,6
12,2,0
60,12,6
88,16,2
27,3,1
11,1,0
11,1,0
4,1,0
4,1,0
4,1,0
77,15,2
77,15,2
23,2,1
2,0,0
18,2,1
3,0,0
61,13,1
7,0,0
54,13,1
6,0,2
6,0,2
6,0,2
6,0,2
6,0,2
6,0,2
6,0,2
411,121,9
411,121,9
50,4,2
34,1,2
16,3,0
53,11,2
308,106,5
403,241,13
1,1,0
402,240,13
227,129,6
213,120,6
14,9,0
193,,
179,,
14,,
2,2,0
173,109,7
380,151,8
2,0,0
378,151,8
141,37,6
88,27,4
53,10,2
35,10,0
65,,
65,,
45,20,2
157,84,0
2613,488,63
973,129,23
926,237,26
2580,480,63
8,2,0
2572,478,63
963,129,23
6,1,0
957,128,23
358,34,6
428,62,12
171,32,5
911,232,26
42,10,0
1,0,0
41,10,0
10,0,0
1,0,0
9,0,0
15,5,0
9,2,0
105,14,5
609,108,9
103,13,5
595,104,9
2,1,0
14,4,0
1034,1006,4
332,326,1
1034,1006,4
1034,1006,4
332,326,1
2,2,0
330,324,1
62,61,0
172,168,1
96,95,0
108,107,1
594,573,2
108,107,1
594,573,2
273,254,0
32,29,0
273,254,0
273,254,0
32,29,0
1,1,0
31,28,0
9,9,0
14,13,0
8,6,0
45,43,0
196,182,0
45,43,0
196,182,0
357,325,1
357,325,1
40,39,0
8,7,0
32,32,0
40,,
8,,
32,,
21,19,0
296,267,1
2566,494,42
1241,200,19
2570,494,43
4,0,1
2566,494,42
1241,200,19
1241,200,19
373,49,4
611,100,8
257,51,7
4,0,1
221,41,3
1104,253,20
221,41,3
1104,253,20
375,169,5
375,169,5
117,55,1
117,55,1
2,0,0
54,,
54,,
256,114,4
1558,33,51
1292,19,37
199,6,8
1560,34,51
2,1,0
1558,33,51
1292,19,37
1292,19,37
1083,12,29
189,6,7
20,1,1
199,6,8
2,1,0
67,8,6
67,8,6
773,631,9
338,272,6
333,271,1
561,488,6
561,488,6
247,214,3
8,4,0
239,210,3
156,133,1
67,61,2
16,16,0
244,210,1
212,143,3
212,143,3
91,58,3
43,16,2
48,42,1
89,61,0
12,10,0
90,78,2
5,4,0
65,60,2
7,6,0
25,18,0
211,103,1
211,103,1
125,39,1
125,39,1
75,,
75,,
14,9,0
72,55,0
459,8,3
74,1,1
459,8,3
459,8,3
74,1,1
1,0,0
73,1,1
385,7,2
385,7,2
69,0,2
49,0,2
69,0,2
69,0,2
49,0,2
49,0,2
39,0,2
8,0,0
2,0,0
20,0,0
20,0,0
521,29,30
461,26,23
44,1,3
521,29,30
521,29,30
461,26,23
461,26,23
434,23,22
25,3,1
2,0,0
44,1,3
16,2,4
16,2,4
183,3,4
183,3,4
49,1,2
7,0,0
42,1,2
14,,
14,,
10,0,1
124,2,1
488,25,65
454,20,56
488,25,65
488,25,65
454,20,56
454,20,56
420,18,47
28,2,9
6,0,0
34,5,9
34,5,9
4,0,0
4,0,0
2,0,0
2,0,0
2,,
2,,
2,0,0
505,21,9
1,0,0
504,21,9
118,0,1
4,0,0
114,0,1
84,6,0
52,,
2,,
50,,
46,1,0
256,14,8
482,7,13
436,6,12
33,0,1
482,7,13
482,7,13
436,6,12
436,6,12
411,4,12
21,2,0
4,0,0
33,0,1
1,0,0
12,1,0
1,0,0
12,1,0
366,5,0
1,0,0
365,5,0
93,1,0
2,0,0
91,1,0
57,0,0
44,,
2,,
42,,
215,4,0
506,37,10
213,3,2
487,36,10
2,0,0
485,36,10
200,3,2
5,0,0
195,3,2
102,1,2
66,1,0
27,1,0
21,1,0
21,1,0
13,0,0
