GRTOTLT,GRBKAAT,GRHISPT
979,52,224
1261,71,284
2,0,0
1259,71,284
979,52,224
979,52,224
867,44,189
99,7,33
13,1,2
2,0,0
11,1,3
269,18,57
11,1,3
269,18,57
436,46,85
436,46,85
291,23,57
287,23,57
11,,
4,0,0
144,,
140,,
4,,
145,23,28
301,72,105
301,72,105
151,34,55
143,33,52
8,1,3
119,,
111,,
8,,
1,0,0
149,38,50
402,58,137
1,0,1
401,58,136
168,19,57
157,18,53
11,1,4
141,,
133,,
8,,
22,0,7
211,39,72
562,38,248
2,0,0
560,38,248
214,14,82
204,14,78
10,0,4
188,,
180,,
8,,
6,1,2
340,23,164
271,15,51
271,15,51
63,1,9
5,0,1
58,1,8
45,3,6
30,,
2,,
28,,
51,1,15
112,10,21
277,15,63
102,5,25
105,2,22
1,,
277,15,63
277,15,63
102,5,25
78,5,19
24,0,6
105,2,22
2,0,1
68,8,15
2,0,1
68,8,15
211,15,56
211,15,56
39,0,12
39,0,12
19,1,8
39,,
39,,
94,3,27
59,11,9
157,5,24
68,3,13
41,0,3
158,5,24
1,0,0
157,5,24
68,3,13
68,3,13
56,1,10
12,2,3
41,0,3
1,0,0
48,2,8
48,2,8
1045,34,551
1045,34,551
200,6,100
1,0,0
199,6,100
110,7,39
47,,
47,,
266,4,161
469,17,251
152,60,63
152,60,63
16,4,7
1,0,1
15,4,6
18,9,5
4,,
4,,
24,7,14
94,40,37
202,18,32
145,12,26
188,17,25
188,17,25
137,12,22
8,0,4
129,12,18
112,9,17
13,3,0
4,0,1
14,1,7
14,1,7
8,0,4
7,0,4
1,0,0
3,1,0
54,5,6
3,1,0
48,4,3
6,1,3
1102,37,345
1102,37,345
350,10,98
34,2,13
316,8,85
176,6,35
145,,
26,,
119,,
175,5,64
401,16,148
413,14,99
413,14,99
103,0,25
2,0,0
101,0,25
71,2,21
30,,
2,,
28,,
2,,
84,5,16
155,7,37
484,22,276
484,22,276
322,12,181
322,12,181
190,,
190,,
23,2,8
139,8,87
1196,34,528
1196,34,528
227,3,91
14,0,3
213,3,88
134,7,61
58,,
9,,
49,,
338,5,149
497,19,227
461,27,196
461,27,196
133,3,47
3,0,0
130,3,47
74,9,27
55,,
3,,
52,,
88,3,53
166,12,69
1622,22,420
1622,22,420
587,1,128
32,0,5
555,1,123
212,3,36
214,,
34,,
180,,
288,3,103
535,15,153
2068,83,1192
2068,83,1192
642,22,294
26,0,17
1,0,1
616,22,277
212,20,99
194,,
11,,
183,,
543,12,368
671,29,431
313,17,171
205,12,115
80,5,41
169,5,76
169,5,76
112,2,53
112,2,53
84,2,43
27,0,10
1,0,0
41,3,17
144,12,95
144,12,95
93,10,62
11,2,8
82,8,54
39,2,24
28,0,15
16,0,6
12,0,9
681,59,266
681,59,266
162,10,66
5,1,2
157,9,64
109,16,33
48,,
7,,
41,,
410,33,167
35,1,2
1,0,0
34,1,2
23,1,2
23,1,2
1,0,0
23,,
23,,
10,0,0
633,38,95
304,10,42
64,0,2
14,0,2
14,0,2
8,0,2
8,0,2
7,0,2
1,0,0
621,38,93
2,0,0
619,38,93
296,10,40
150,10,22
138,0,16
8,0,2
64,0,2
2,0,0
265,28,51
6,0,0
259,28,51
486,28,195
486,28,195
152,6,63
5,1,1
147,5,62
51,3,18
36,,
7,,
29,,
133,4,60
150,15,54
608,22,258
608,22,258
448,14,194
432,13,189
16,1,5
369,,
362,,
7,,
2,0,0
158,8,64
733,168,362
1,1,0
732,167,362
392,64,213
367,58,198
25,6,15
304,,
285,,
19,,
91,,
339,103,148
29,0,28
9,0,9
7,0,7
7,0,7
2,0,2
2,0,2
1,0,1
1,0,1
22,0,21
22,0,21
7,0,7
6,0,6
1,0,1
1,0,1
19,0,18
1,0,1
4,0,4
15,0,14
30,2,4
12,0,1
26,1,4
26,1,4
12,0,1
12,0,1
5,0,0
6,0,0
1,0,1
4,1,0
4,1,0
18,2,3
14,1,3
4,1,0
15,0,7
6,0,3
15,0,7
15,0,7
6,0,3
6,0,3
1,0,0
5,0,3
9,0,4
9,0,4
147,11,41
78,2,27
48,7,8
147,11,41
147,11,41
78,2,27
78,2,27
63,1,23
10,0,3
5,1,1
48,7,8
21,2,6
21,2,6
467,26,64
398,22,54
51,2,6
467,26,64
467,26,64
398,22,54
398,22,54
374,21,50
22,1,4
2,0,0
51,2,6
18,2,4
18,2,4
628,23,152
628,23,152
245,5,44
8,0,3
237,5,41
105,4,33
68,,
2,,
66,,
108,2,37
170,12,38
1870,23,535
1870,23,535
727,5,138
2,0,1
725,5,137
293,5,100
194,,
4,,
190,,
373,3,133
477,10,164
24,,
67,,
225,8,28
142,5,14
225,8,28
225,8,28
142,5,14
142,5,14
117,4,12
18,1,2
7,0,0
1,0,0
82,3,14
1,0,0
82,3,14
407,8,309
407,8,309
94,1,70
17,0,10
77,1,60
26,1,15
33,,
16,,
17,,
115,0,97
172,6,127
87,3,22
43,1,12
6,0,0
87,3,22
87,3,22
43,1,12
43,1,12
25,1,8
10,0,2
8,0,2
6,0,0
38,2,10
38,2,10
707,90,292
707,90,292
537,56,229
471,55,215
66,1,14
49,,
41,,
8,,
3,0,0
167,34,63
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
272,13,67
124,6,21
99,3,29
190,10,44
190,10,44
97,6,16
11,2,4
86,4,12
57,2,8
22,2,3
7,0,1
62,2,19
82,3,23
82,3,23
27,0,5
10,0,2
17,0,3
37,1,10
5,0,2
44,4,15
5,0,2
26,2,7
18,2,8
880,31,99
533,20,73
678,30,94
678,30,94
455,19,70
455,19,70
291,10,40
130,7,25
34,2,5
202,1,5
202,1,5
78,1,3
78,1,3
3,0,0
344,11,26
3,0,0
220,11,24
124,0,2
81,10,43
81,10,43
15,0,10
6,0,3
9,0,7
15,6,4
10,,
7,,
3,,
13,1,10
38,3,19
2024,44,789
2024,44,789
559,9,170
28,1,6
531,8,164
217,11,56
162,,
29,,
133,,
443,7,211
805,17,352
1748,91,664
1748,91,664
556,10,168
9,1,1
547,9,167
169,18,62
169,,
5,,
164,,
388,21,195
635,42,239
781,52,78
657,42,64
781,52,78
781,52,78
657,42,64
657,42,64
584,37,57
65,3,7
8,2,0
5,0,1
119,10,13
5,0,1
119,10,13
262,16,43
220,14,40
264,16,43
2,0,0
262,16,43
220,14,40
220,14,40
210,14,39
7,0,0
3,0,1
2,0,0
7,1,0
35,1,3
7,1,0
35,1,3
54,1,15
38,1,10
54,1,15
54,1,15
38,1,10
36,1,10
2,0,0
16,0,5
16,0,5
538,10,63
395,7,46
121,3,15
538,10,63
538,10,63
395,7,46
395,7,46
318,5,29
71,2,15
6,0,2
121,3,15
2,0,0
20,0,2
2,0,0
20,0,2
382,25,43
354,23,43
382,25,43
382,25,43
354,23,43
354,23,43
344,23,43
9,0,0
1,0,0
5,1,0
23,1,0
5,1,0
23,1,0
350,3,253
350,3,253
95,0,76
6,0,6
89,0,70
22,1,12
31,,
3,,
28,,
70,0,58
163,2,107
140,11,90
37,1,24
4,1,2
139,11,89
1,0,1
138,11,88
35,1,22
35,1,22
32,1,20
3,0,2
4,1,2
2,0,2
2,0,2
2,0,2
2,0,2
1,0,1
99,9,64
99,9,64
1168,15,803
1168,15,803
294,3,172
27,0,13
267,3,159
77,6,44
276,0,200
521,6,387
572,8,51
393,7,39
572,8,51
572,8,51
393,7,39
393,7,39
358,7,35
31,0,4
4,0,0
179,1,12
179,1,12
438,24,61
438,24,61
48,0,10
11,0,2
37,0,8
20,4,3
12,,
2,,
10,,
56,2,8
314,18,40
1044,7,856
1044,7,856
205,0,140
3,0,3
202,0,137
77,3,64
34,,
2,,
32,,
308,1,255
454,3,397
680,62,314
680,62,314
197,11,76
7,0,5
190,11,71
113,20,46
66,,
10,,
56,,
370,31,192
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
944,106,275
944,106,275
225,8,47
13,0,5
212,8,42
89,10,26
64,,
10,,
54,,
188,23,60
442,65,142
1675,42,433
1675,42,433
580,7,133
74,1,19
506,6,114
235,13,49
251,,
66,,
185,,
324,5,101
536,17,150
783,69,537
783,69,537
112,9,72
15,1,8
97,8,64
97,9,50
25,,
11,,
14,,
172,15,130
402,36,285
21,0,1
21,0,1
17,0,1
17,0,1
17,,
17,,
4,0,0
1278,78,494
1278,78,494
296,9,98
6,1,3
290,8,95
227,13,79
70,,
5,,
65,,
220,13,100
535,43,217
524,25,115
524,25,115
158,5,19
11,2,1
147,3,18
75,8,16
47,,
7,,
40,,
99,4,29
192,8,51
3578,128,875
2361,73,519
103,1,20
3578,128,875
3578,128,875
2361,73,519
2361,73,519
1053,31,191
942,26,240
366,16,88
103,1,20
155,9,54
959,45,282
155,9,54
959,45,282
1259,18,176
966,12,138
1260,19,176
1,1,0
1259,18,176
966,12,138
966,12,138
838,8,121
117,4,16
11,0,1
1,1,0
293,6,38
293,6,38
57,3,6
19,1,3
58,3,6
1,0,0
57,3,6
19,1,3
19,1,3
18,1,3
1,0,0
1,0,0
38,2,3
38,2,3
40,1,1
20,0,1
36,1,1
36,1,1
18,0,1
18,0,1
17,0,1
1,0,0
4,0,0
4,0,0
2,0,0
2,0,0
20,1,0
18,1,0
2,0,0
3512,218,697
1747,89,317
217,15,51
3512,218,697
3512,218,697
1747,89,317
1747,89,317
524,26,73
875,41,178
348,22,66
217,15,51
188,20,46
1360,94,283
188,20,46
1360,94,283
1036,30,172
730,15,125
223,10,37
1040,30,173
4,0,1
1036,30,172
730,15,125
730,15,125
632,11,100
77,3,19
21,1,6
223,10,37
4,0,1
7,0,1
76,5,9
7,0,1
76,5,9
1605,145,649
1605,145,649
433,10,183
12,0,7
421,10,176
154,27,56
124,,
7,,
117,,
358,24,165
660,84,245
2343,329,1177
3,0,1
2340,329,1176
1110,88,694
200,44,115
910,44,579
16,1,11
758,,
188,,
570,,
1,0,1
1213,240,470
57,4,4
38,2,2
55,4,4
55,4,4
36,2,2
36,2,2
31,2,1
5,0,1
2,0,0
2,0,0
2,0,0
2,0,0
19,2,2
19,2,2
450,36,238
450,36,238
102,9,35
5,0,3
97,9,32
68,10,30
36,,
2,,
34,,
71,2,43
209,15,130
3463,234,738
1787,90,334
134,10,32
3463,234,738
3463,234,738
1787,90,334
1787,90,334
328,11,59
891,47,161
568,32,114
134,10,32
359,15,91
1183,119,281
359,15,91
1183,119,281
653,23,204
653,23,204
106,6,34
39,0,10
67,6,24
116,7,20
27,,
10,,
17,,
142,4,54
289,6,96
1,0,0
192,19,104
89,3,52
2,0,1
192,19,104
192,19,104
89,3,52
47,2,20
42,1,32
2,0,1
101,16,51
101,16,51
199,1,134
67,1,53
3,0,1
199,1,134
199,1,134
67,1,53
67,1,53
66,1,52
1,0,1
3,0,1
5,0,4
124,0,76
5,0,4
124,0,76
45,2,20
27,2,10
45,2,20
45,2,20
27,2,10
19,2,4
8,0,6
18,0,10
18,0,10
2046,63,469
2046,63,469
676,7,132
65,0,4
611,7,128
361,21,87
280,,
59,,
221,,
175,8,75
834,27,175
469,,
215,,
1220,44,234
1040,35,202
1221,44,234
1,0,0
1220,44,234
1040,35,202
1040,35,202
951,32,186
74,3,13
15,0,3
1,0,0
180,9,32
